Date,Close
12-04-24,88.19
15-04-24,86
16-04-24,87.42
17-04-24,84.04
18-04-24,84.67
19-04-24,76.2
22-04-24,79.52
23-04-24,82.42
24-04-24,79.68
25-04-24,82.63
26-04-24,87.74
29-04-24,87.76
30-04-24,86.4
01-05-24,83.04
02-05-24,85.82
03-05-24,88.79
06-05-24,92.14
07-05-24,90.55
08-05-24,90.41
09-05-24,88.75
10-05-24,89.88
13-05-24,90.4
14-05-24,91.36
15-05-24,94.63
16-05-24,94.36
17-05-24,92.48
20-05-24,94.78
21-05-24,95.39
22-05-24,94.95
23-05-24,103.8
24-05-24,106.47
28-05-24,113.9
29-05-24,114.83
30-05-24,110.5
31-05-24,109.63
03-06-24,115
04-06-24,116.44
05-06-24,122.44
06-06-24,121
07-06-24,120.89
10-06-24,121.79
11-06-24,120.91
12-06-24,125.2
13-06-24,129.61
14-06-24,131.88
17-06-24,130.98
18-06-24,135.58
20-06-24,130.78
21-06-24,126.57
24-06-24,118.11
25-06-24,126.09
26-06-24,126.4
27-06-24,123.99
28-06-24,123.54
01-07-24,124.3
02-07-24,122.67
03-07-24,128.28
05-07-24,125.83
08-07-24,128.2
09-07-24,131.38
10-07-24,134.91
11-07-24,127.4
12-07-24,129.24
15-07-24,128.44
16-07-24,126.36
17-07-24,117.99
18-07-24,121.09
19-07-24,117.93
22-07-24,123.54
23-07-24,122.59
24-07-24,114.25
25-07-24,112.28
26-07-24,113.06
29-07-24,111.59
30-07-24,103.73
31-07-24,117.02
01-08-24,109.21
02-08-24,107.27
05-08-24,100.45
06-08-24,104.25
07-08-24,98.91
08-08-24,104.97
09-08-24,104.75
12-08-24,109.02
13-08-24,116.14
14-08-24,118.08
15-08-24,122.86
16-08-24,124.58
19-08-24,130
20-08-24,127.25
21-08-24,128.5
22-08-24,123.74
23-08-24,129.37
26-08-24,126.46
27-08-24,128.3
28-08-24,125.61
29-08-24,117.59
30-08-24,119.37
03-09-24,108
04-09-24,106.21
05-09-24,107.21
06-09-24,102.83
09-09-24,106.47
10-09-24,108.1
11-09-24,116.91
12-09-24,119.14
13-09-24,119.1
16-09-24,116.78
17-09-24,115.59
18-09-24,113.37
19-09-24,117.87
20-09-24,116
23-09-24,116.26
24-09-24,120.87
25-09-24,123.51
26-09-24,124.04
27-09-24,121.4
30-09-24,121.44
01-10-24,117
02-10-24,118.85
03-10-24,122.85
04-10-24,124.92
07-10-24,127.72
08-10-24,132.89
09-10-24,132.65
10-10-24,134.81
11-10-24,134.8
14-10-24,138.07
15-10-24,131.6
16-10-24,135.72
17-10-24,136.93
18-10-24,138
21-10-24,143.71
22-10-24,143.59
23-10-24,139.56
24-10-24,140.41
25-10-24,141.54
28-10-24,140.52
29-10-24,141.25
30-10-24,139.34
31-10-24,132.76
01-11-24,135.4
04-11-24,136.05
05-11-24,139.91
06-11-24,145.61
07-11-24,148.88
08-11-24,147.63
11-11-24,145.26
12-11-24,148.29
13-11-24,146.27
14-11-24,146.76
15-11-24,141.98
18-11-24,140.15
19-11-24,147.01
20-11-24,145.89
21-11-24,146.67
22-11-24,141.95
25-11-24,136.02
26-11-24,136.92
27-11-24,135.34
29-11-24,138.25
02-12-24,138.63
03-12-24,140.26
04-12-24,145.14
05-12-24,145.06
06-12-24,142.44
09-12-24,138.81
10-12-24,135.07
11-12-24,139.31
12-12-24,137.34
13-12-24,134.25
16-12-24,132
17-12-24,130.39
18-12-24,128.91
19-12-24,130.68
20-12-24,134.7
23-12-24,139.67
24-12-24,140.22
26-12-24,139.93
27-12-24,137.01
30-12-24,137.49
31-12-24,134.29
02-01-25,138.31
03-01-25,144.47
06-01-25,149.43
07-01-25,140.14
08-01-25,140.11
10-01-25,135.91
13-01-25,133.23
14-01-25,131.76
15-01-25,136.24
16-01-25,133.57
17-01-25,137.71
21-01-25,140.83
22-01-25,147.07
23-01-25,147.22
24-01-25,142.62
27-01-25,118.42
28-01-25,128.99
29-01-25,123.7
30-01-25,124.65
31-01-25,120.07
03-02-25,116.66
04-02-25,118.65
05-02-25,124.83
06-02-25,128.68
07-02-25,129.84
10-02-25,133.57
11-02-25,132.8
12-02-25,131.14
13-02-25,135.29
14-02-25,138.85
18-02-25,139.4
19-02-25,139.23
20-02-25,140.11
21-02-25,134.43
24-02-25,130.28
25-02-25,126.63
26-02-25,131.28
27-02-25,120.15
28-02-25,124.92
03-03-25,114.06
04-03-25,115.99
05-03-25,117.3
06-03-25,110.57
07-03-25,112.69
10-03-25,106.98
11-03-25,108.76
12-03-25,115.74
13-03-25,115.58
14-03-25,121.67
17-03-25,119.53
18-03-25,115.43
19-03-25,117.52
20-03-25,118.53
21-03-25,117.7
24-03-25,121.41
25-03-25,120.69
26-03-25,113.76
27-03-25,111.43
28-03-25,109.67
31-03-25,108.38
01-04-25,110.15
02-04-25,110.42
03-04-25,101.8
04-04-25,94.31
07-04-25,97.64
08-04-25,96.3
09-04-25,114.33
10-04-25,107.57
11-04-25,110.93
